RegionName,VAChT,D2,5-HT1b,5-HT2a,5-HT1a,5-HTT,5-HT4,NET,mGluR5,GABAa,DAT,H3,a4b2,D1,MOR,CB1,M1,5-HT6,KOR
R_caudalanteriorcingulate,0.7930717181469027,0.31460842688418506,0.4303594453282875,0.4083853924291235,0.40526477584949777,0.4305377347226766,0.37700603654464787,0.45236631823624895,0.878029606607615,0.2149737498468846,0.5251931058544562,0.8827913859009044,0.8337433277574363,0.7042480526284423,0.9465032415729504,0.899410299932714,0.7062621650153705,0.618378292161281,0.8512329928486991
R_caudalmiddlefrontal,0.2497778951777068,0.16479507027091925,0.5011674974121599,0.5242696004224662,0.2975850497840471,0.03386256172705384,0.2865505745719816,0.34329879274560565,0.5591355237873465,0.40446983344334636,0.32710383523413594,0.344714712972164,0.9795924005373168,0.3787371781344293,0.6839045450430454,0.5543881478342959,0.4983884968209347,0.7427445913190471,0.5660372574544211
R_cuneus,0.12523262307533756,0.15106633397685978,0.5679824471444883,0.6194857705476655,0.19382522694386375,0.40017822917968665,0.2918837095497989,0.3639499546317225,0.5245353933709019,0.7369937459199709,0.3086207249243948,0.21762725428613566,0.5563961933569792,0.42892640559336753,0.07052373749119481,0.26295348873982416,0.9330467949334947,0.8795616117020096,0.2406357616054915
R_entorhinal,0.10227859690879335,0.29191997586386975,0.0885129887685537,0.1258859380186836,0.8851089353439494,0.8968741481897584,0.6885381359934282,0.029827735883569392,0.03413974327630984,0.009106343554418318,0.4516125062531228,0.06528949398091398,0.032376833723041266,0.1565529256831423,0.4866579253405177,0.2836622607961489,0.18998810837741575,0.0,0.3864693416558187
R_fusiform,0.17689630260923014,0.503895327777572,0.25929783706666004,0.5732299120032365,0.5861549106005804,0.2715594783559102,0.4980004376529922,0.18643054529655773,0.4965793330250195,0.455314534130347,0.5069660125586066,0.14679528095918531,0.6040437605121494,0.6228692291409312,0.49237871514311626,0.6016210952860607,0.7383520356391863,0.748702983246799,0.38739198730007196
R_inferiorparietal,0.19775902131535972,0.3927485696208572,0.4334050043047716,0.6522362676769627,0.395514975695207,0.045614450987072626,0.5411969545773204,0.45889974483537144,0.7652918982363511,0.47713762984991365,0.31543886445538727,0.23046172518925245,0.8851174929402498,0.4943930426323476,0.6008517776384136,0.6912170718673206,0.9412119058951744,0.9120559713472711,0.6151887483690109
R_inferiortemporal,0.21740415601292545,0.6242872262152525,0.3186079889957834,0.6852042822217045,0.6541397456019391,0.12232202872372638,0.6686174794637371,0.25100292726532253,0.5792942678722443,0.3569940789138086,0.4721679219914555,0.09903070833968003,0.6383493401232256,0.6096637645355422,0.6659406498610468,0.6822090830057761,0.8351029069169421,0.8742412929199465,0.4424733401412041
R_isthmuscingulate,0.24139854628273583,0.032015125609393215,0.2383790163652234,0.4372591456064597,0.2637306514724819,0.3310469945528335,0.4314370791219883,0.02538285847043926,0.34782170821941794,0.3398212428168839,0.43845958523272704,0.048375487486732385,0.40140066505033956,0.6150007776292855,0.3771579360607779,0.162162127668106,0.13604454545875033,0.21739559155883262,0.11798856872867416
R_lateraloccipital,0.12665409320119284,0.2350086634047176,0.4497311326374416,0.539645390974324,0.19948407872638763,0.11812690455425578,0.2721794583153341,0.37696686176236527,0.35173331966975163,0.5793184176938978,0.2980250135392313,0.10886452160415473,0.701008299825791,0.15501677476027867,0.1413205117772426,0.40000552016594493,0.9043939093923995,0.7681967607843989,0.42565012584844075
R_lateralorbitofrontal,0.3898663204898447,0.3472371454647357,0.5293906905858433,0.718520043403752,0.4664015714849623,0.42273911503652034,0.605700263184435,0.08521495297626386,0.512185929083547,0.4451645953002165,0.5975363404267203,0.4004013529947945,0.6538673852638309,0.6783284629411389,0.8066335801177271,0.6692159626410836,0.5589439252398203,0.5613717833088406,0.6329698319014637
R_lingual,0.05233169354632838,0.12794911571515144,0.5129102940187695,0.5696469800730826,0.17904373523398753,0.3739106530353365,0.26671678444677793,0.09594431845808173,0.29753663257127716,0.7211456148211624,0.3960128799417079,0.1046579916392852,0.4487554542884676,0.4867707158264425,0.0978746022043408,0.18632795661693283,0.5343748065876814,0.5050057461228412,0.12242385706264972
R_medialorbitofrontal,0.35344842651545033,0.3287901061110596,0.4317541004245544,0.6454856818922233,0.5643270531375031,0.3110138043420275,0.6158641190612975,0.13161302927306112,0.8584260195320041,0.4259468590017265,0.471107992026678,0.5993818922101252,0.6661862811730241,1.0,0.8956151836482923,0.963766236122999,0.8879769065966898,0.640902334167108,0.543777159745382
R_middletemporal,0.27920481426390387,0.6170366422302033,0.4178668070201814,0.8416583543207492,0.6282589990865769,0.17228374740637822,0.8496815681171589,0.415732304722016,0.7821148101723948,0.45122301638417117,0.4375982743859258,0.1981207734023854,0.7482305642407454,0.6776674942964646,0.6988868235952979,0.747315347260193,0.9441320602241635,0.9413211225530175,0.5618540000188263
R_parahippocampal,0.18983376561994922,0.2975840723271306,0.0506975488102757,0.19102542718339624,0.7193911191231354,0.5007331516083892,0.43721131534701096,0.03152787379156342,0.16553275526198283,0.21236186935746265,0.5381989433709438,0.1449444633837926,0.5066869477219136,0.3177961290634542,0.3203239275165493,0.4069177160078218,0.1445090944812431,0.29858978306112677,0.2668231383798421
R_paracentral,0.5478514962636949,0.10055264587738738,0.392574384725086,0.2402787240496095,0.22798316312128597,0.33589766138179233,0.22790826942214817,0.9343449413411185,0.42049949768862244,0.22121103713567114,0.28001752806001884,0.3684051779371907,0.6710644179718748,0.22797269998022293,0.4978895857018302,0.4721631456526796,0.5036746413295887,0.40650522800904587,0.6040251460033214
R_parsopercularis,0.41299700957935237,0.3065348393776087,0.6074674674855793,0.7107600115275694,0.46858228347579517,0.21661908187950896,0.5180117264052929,0.45188262050431427,0.9078682728409471,0.5172994272176744,0.529643602369562,0.4651090060227127,0.930347603436389,0.6713669098039069,0.7461628165326601,0.7195344175748828,0.7271646816826943,0.8615335302207952,0.7797835995903132
R_parsorbitalis,0.3125662909381352,0.2694400180606674,0.6288596091837766,0.7798831671680126,0.35727343806025136,0.18874957986267407,0.6207680703773563,0.37020728967615457,0.6186835029312844,0.5629041575263748,0.28448304227580956,0.41377728777251505,0.8805245903377374,0.5701163922238631,0.7612272310794707,0.7858662226004356,0.8243121239266098,0.7597204550713423,0.7333587489793508
R_parstriangularis,0.35961697774064405,0.25791685643932005,0.5748789732636984,0.6209625700255124,0.36864596547746187,0.2104628610936199,0.44552951162520715,0.49872738026830216,0.7571729186149809,0.47716660318098364,0.45063490838975695,0.4116287194663456,0.958516672081495,0.42021305807574677,0.7047723736057248,0.6996559198800304,0.7903343288171305,0.8871799798670833,0.8261203912126847
R_pericalcarine,0.15701536749671133,0.05899105260985641,0.9492116249529041,0.7645403542396311,0.01969355839257272,0.4619995639879039,0.16911571019143215,0.24687930913423842,0.3372618575882057,0.9959058015459261,0.4188754189179338,0.1937266834461232,0.5577587524235477,0.46991939497126994,0.00018508016629893272,0.04826419421111911,0.9481968850952972,0.8663545569329208,0.10020065303331334
R_postcentral,0.39318172149696906,0.19010348932033994,0.39100324998873165,0.2901723193509972,0.225928469119095,0.19020468174689284,0.20505086390871274,0.971263638881414,0.45490718316635737,0.2831503474403389,0.23257543369344982,0.2815821286699017,0.7339841457495773,0.11164891269358111,0.3881803218846698,0.4959865752906918,0.6167704916841238,0.5004185085584884,0.6432750109542346
R_posteriorcingulate,0.7339542513653051,0.16387692204435242,0.37340553942190924,0.5186413756016869,0.35969843818328046,0.43478602823730905,0.4907562637311612,0.4098320626273695,0.7582548406824061,0.2639134839903116,0.5142180510761449,0.3489431843733453,0.6983698325385752,0.78619061672794,0.719875470920946,0.5208642957847781,0.41416743994884775,0.3282889332718868,0.4043547295419992
R_precentral,0.49440605907941415,0.13935503148853273,0.47241165799309326,0.35566479257555084,0.22774663652724658,0.12138782056138976,0.22115506464012752,0.7134570871622432,0.3755601111583519,0.2803768637207329,0.2757209520240652,0.29579498115333375,0.8419639444810701,0.16419864960921288,0.48299116535149006,0.44699874630579406,0.35820688251609906,0.5015821242512368,0.728867285083688
R_precuneus,0.24892132010546827,0.19534902737457047,0.41941137989841226,0.6378568679367336,0.29870211200767355,0.248588427181923,0.5729628378734668,0.35650217787378297,0.7187861537723924,0.49717591083392887,0.33574629424255753,0.29007134895708664,0.692919596272301,0.5676524155024378,0.49452823666668033,0.5194019846240533,0.7648368310356592,0.7878538376098848,0.38230460697299656
